# GENERATED from src/game/content.js — do not hand-edit; run scripts/export-chips.mjs
Chip ID,Name,Kind,Stat Type,Slots,Tech Level,Cost,Upkeep,Loyalty Req,Upgrades To,Faction,Effect,Versari Name,Goldgrass Name,Lakers Name,Plainers Name
drilled-troops,Drilled Troops,unit,strength,1,1,3,,0,sharpened-blades,,+1 Strength,Engineered Blades,Scythe Levy,Stamped Plate,Bushwhackers
sharpened-blades,Sharpened Blades,unit,strength,1,2,6,,3,,,+2 Strength,Set Piece,Threshers,Drop Hammer,Buffalo Gun
bombard,Bombard,unit,strength,2,3,12,1,6,,,"+3 Strength; ignores a defending Location's static defenses (fortify, high ground, turret walls)",,,,
navigator,Navigator,unit,movement,1,1,3,,0,troop-carrier,,+1 Movement,Sunrunner,Trace Horses,Droit Iron,Mustangers
troop-carrier,Troop Carrier,unit,movement,1,2,6,,3,,,+2 Movement — the whole squad rides,Sunhauler,Stage Line,Chrome Hauler,Remuda
landship,Landship,unit,movement,2,3,12,2,6,,,"+3 Movement; rough ground plays road-grade (forest 1, mountains 2, no halt)",,,,
field-glass,Field Glass,unit,vision,1,1,3,,0,spotter-net,,+1 Vision range,Long Optics,Field Talk,Highbeams,Outriders
spotter-net,Spotter Net,unit,vision,1,2,6,,3,,,+1 Vision and +1 Detection — finds what hides,Signal Intercept,Neighbors,Searchlight,Cutting Sign
recyclers,Recyclers,location,,1,1,3,,0,factory,,+1 scrap Output,Panel Field,Gleaning Yards,Breaker Yard,Salvage Camp
factory,Factory,location,,1,2,6,,3,,,+2 scrap Output,Sunworks,Gristmill,Stamping Plant,Tradehouse
works,Works,location,,1,1,4,,0,,,+1 build progress each turn toward this location's active build,Fabricator,Barn Raising,Assembly Line,Roustabouts
labs,Labs,location,,1,1,3,,0,advanced-lab,,+1 Research while controlled,Lyceum,Almanac Society,Trade School,Assay Office
advanced-lab,Advanced Lab,location,,1,2,6,1,3,,,+2 Research while controlled (upkeep 1),The Institute,Seed Vault,Proving Grounds,Surveyors' Guild
rainmaker-lab,Rainmaker Workshop,location,,1,1,8,,0,,,+1 Research. Takes no chip slot; only in the capital holding the Rainmaker,The Condensary,Rain Shed,The Wet Works,Sky Barn
defense-turrets,Defense Turrets,location,,1,1,4,,0,stronghold,,+2 garrison Strength,Rampart,Hedgerows,Slag Wall,Stockade
stronghold,Stronghold,location,,1,2,7,1,3,,,+4 garrison Strength (upkeep 1),Bastion,Granary Keep,Blast Wall,Hillfort
training-grounds,Training Grounds,location,,1,1,4,,0,,,Enables recruiting units; +1 unit cap,The Academy,Militia Green,Union Hall,Bunkhouse
infirmary,Infirmary,location,,1,2,5,,3,,,Units here heal +1 more per Upkeep; instant reinforce here costs 1 scrap per Strength,Clean Ward,Apothecary,Company Clinic,Sawbones
watchtower,Watchtower,location,,1,1,3,,0,,,"This location: +1 Vision, +1 Detection",Heliograph,Steeple Watch,Water Tower,Fence Riders
beacon,Beacon,location,,1,1,4,,0,broadcast,,+2 Influence projected by this location,Wire Service,Market Fair,Radio Tower,Circuit Riders
broadcast,Broadcast,location,,1,2,7,,3,,,+2 Influence and +1 Influence range,Signal Authority,County Fair,Clear Channel,Camp Meeting
civic-hall,Civic Hall,location,,1,2,5,,3,,,Loyalty rises +1 extra while garrisoned and never decays while neglected,The Ministry,Grange Hall,Company Store,Watering Hole
recon-team,Recon Team,location,,1,1,3,,0,,,Discard a drawn encounter and draw again,Field Agents,Town Criers,Block Captains,Trail Scouts
logistics-hub,Logistics Hub,location,,2,3,12,1,6,,,"+1 Action each turn (rare, 2-slot; upkeep 1)",,,,
palisade,Palisade,blockade,,1,1,4,,0,,,+3 blockade defense,,,,
signal-mast,Signal Mast,blockade,,1,1,3,,0,,,+1 Vision and +1 Detection from this blockade — an unmasted blockade cannot stop what it cannot see,,,,
toll-booth,Toll Booth,blockade,,1,2,4,,0,,,+2 scrap each Upkeep — a fortified chokepoint taxing what passes,,,,
field-medics,Field Medics,unit,,1,2,4,,3,,,"Heals +1 at Upkeep anywhere, not only on a held Location",,,,
pathfinders,Pathfinders,unit,,1,2,5,,3,,,"Rough ground plays road-grade: forest 1, mountains 2 and no halt",,,,
rearguard,Rearguard,unit,,1,2,4,,3,,,"On losing a contest, may retreat 2 hexes; never takes rout spill damage",,,,
trailwise,Trailwise,unit,,1,1,3,,0,,,Discard an encounter this unit triggers and draw again,,,,
entrenching-tools,Entrenching Tools,unit,,1,1,3,,0,,,+1 to this unit's fortify bonus,,,,
cold-camp,Cold Camp,unit,,1,1,0,,0,,,Pay 2 scrap: unseen until the start of your next turn,,,,
night-march,Night March,unit,,1,1,0,,0,,,Passes through enemy units without being halted (Locations still halt),,,,
war-banner,War Banner,unit,,1,1,0,,0,,,Counts as an extra unit for concentration and raises its stack's concentration cap by 1,,,,
old-hands,Old Hands,unit,,1,1,0,,0,,,This unit counts as a veteran while the chip is installed,,,,
safe-conduct,Safe Conduct,unit,,1,1,0,,0,,,No Standing or Menace penalty for entering another faction's territory,,,,
relay-kit,Relay Kit,unit,,1,1,0,,0,,,This unit can build Listening Posts without the Intelligence tech (normal costs),,,,
burning-glass,Burning Glass,location,,1,2,6,,3,,versari,+2 garrison Strength; attackers suffer 1 Strength erosion before the contest,,,,
guest-house,Guest House,location,,1,2,5,,3,,goldgrass,"Each round, Standing toward you rises with every faction you are not at war with",,,,
motor-pool,Motor Pool,location,,1,2,5,,3,,lakers,Recruiting here costs 2 less scrap; +1 unit cap,,,,
waystation,Waystation,location,,1,2,5,,3,,plainers,Friendly units starting their turn here gain +1 Movement that turn,,,,
